timestamp,range_mm_raw
2026-05-24T16:40:58.218,50.0
2026-05-24T16:40:58.322,40.0
2026-05-24T16:40:58.426,50.0
2026-05-24T16:40:58.530,40.0
2026-05-24T16:40:58.633,40.0
2026-05-24T16:40:58.737,50.0
2026-05-24T16:40:58.841,40.0
2026-05-24T16:40:58.944,50.0
2026-05-24T16:40:59.048,40.0
2026-05-24T16:40:59.171,40.0
2026-05-24T16:40:59.275,50.0
2026-05-24T16:40:59.379,40.0
2026-05-24T16:40:59.483,40.0
2026-05-24T16:40:59.587,50.0
2026-05-24T16:40:59.690,50.0
2026-05-24T16:40:59.794,50.0
2026-05-24T16:40:59.898,50.0
2026-05-24T16:41:00.001,50.0
2026-05-24T16:41:00.105,50.0
2026-05-24T16:41:00.209,40.0
2026-05-24T16:41:00.313,40.0
2026-05-24T16:41:00.417,50.0
2026-05-24T16:41:00.520,50.0
2026-05-24T16:41:00.624,40.0
2026-05-24T16:41:00.743,50.0
2026-05-24T16:41:00.847,40.0
2026-05-24T16:41:00.951,50.0
2026-05-24T16:41:01.054,50.0
2026-05-24T16:41:01.158,50.0
2026-05-24T16:41:01.262,50.0
2026-05-24T16:41:01.366,50.0
2026-05-24T16:41:01.469,50.0
2026-05-24T16:41:01.573,50.0
2026-05-24T16:41:01.677,40.0
2026-05-24T16:41:01.781,40.0
2026-05-24T16:41:01.885,50.0
2026-05-24T16:41:01.988,50.0
2026-05-24T16:41:02.092,50.0
2026-05-24T16:41:02.196,50.0
2026-05-24T16:41:02.315,50.0
2026-05-24T16:41:02.419,50.0
2026-05-24T16:41:02.523,40.0
2026-05-24T16:41:02.626,50.0
2026-05-24T16:41:02.730,50.0
2026-05-24T16:41:02.835,40.0
2026-05-24T16:41:02.938,50.0
2026-05-24T16:41:03.043,40.0
2026-05-24T16:41:03.147,50.0
2026-05-24T16:41:03.250,50.0
2026-05-24T16:41:03.355,50.0
2026-05-24T16:41:03.459,50.0
2026-05-24T16:41:03.563,50.0
2026-05-24T16:41:03.666,40.0
2026-05-24T16:41:03.770,40.0
2026-05-24T16:41:03.890,40.0
2026-05-24T16:41:03.994,50.0
2026-05-24T16:41:04.099,40.0
2026-05-24T16:41:04.203,50.0
2026-05-24T16:41:04.306,50.0
2026-05-24T16:41:04.410,40.0
2026-05-24T16:41:04.514,50.0
2026-05-24T16:41:04.617,40.0
2026-05-24T16:41:04.721,40.0
2026-05-24T16:41:04.825,50.0
2026-05-24T16:41:04.929,50.0
2026-05-24T16:41:05.033,50.0
2026-05-24T16:41:05.136,40.0
2026-05-24T16:41:05.240,50.0
2026-05-24T16:41:05.344,40.0
2026-05-24T16:41:05.464,50.0
2026-05-24T16:41:05.568,50.0
2026-05-24T16:41:05.671,50.0
2026-05-24T16:41:05.775,50.0
2026-05-24T16:41:05.879,50.0
2026-05-24T16:41:05.983,50.0
2026-05-24T16:41:06.087,40.0
2026-05-24T16:41:06.190,50.0
2026-05-24T16:41:06.294,50.0
2026-05-24T16:41:06.399,50.0
2026-05-24T16:41:06.503,50.0
2026-05-24T16:41:06.606,50.0
2026-05-24T16:41:06.710,50.0
2026-05-24T16:41:06.814,50.0
2026-05-24T16:41:06.918,50.0
2026-05-24T16:41:07.036,40.0
2026-05-24T16:41:07.140,40.0
2026-05-24T16:41:07.244,50.0
2026-05-24T16:41:07.347,50.0
2026-05-24T16:41:07.451,50.0
2026-05-24T16:41:07.555,50.0
2026-05-24T16:41:07.660,50.0
2026-05-24T16:41:07.763,50.0
2026-05-24T16:41:07.867,40.0
2026-05-24T16:41:07.971,50.0
2026-05-24T16:41:08.075,50.0
2026-05-24T16:41:08.179,50.0
2026-05-24T16:41:08.283,50.0
2026-05-24T16:41:08.386,50.0
2026-05-24T16:41:08.490,50.0
2026-05-24T16:41:08.612,40.0
2026-05-24T16:41:08.715,50.0
2026-05-24T16:41:08.820,50.0
2026-05-24T16:41:08.924,50.0
2026-05-24T16:41:09.028,50.0
2026-05-24T16:41:09.131,50.0
2026-05-24T16:41:09.235,50.0
2026-05-24T16:41:09.339,50.0
2026-05-24T16:41:09.445,50.0
2026-05-24T16:41:09.548,50.0
2026-05-24T16:41:09.652,40.0
2026-05-24T16:41:09.756,40.0
2026-05-24T16:41:09.860,50.0
2026-05-24T16:41:09.963,50.0
2026-05-24T16:41:10.067,50.0
2026-05-24T16:41:10.185,50.0
2026-05-24T16:41:10.288,50.0
2026-05-24T16:41:10.392,50.0
2026-05-24T16:41:10.496,50.0
2026-05-24T16:41:10.600,50.0
2026-05-24T16:41:10.703,50.0
2026-05-24T16:41:10.807,50.0
2026-05-24T16:41:10.911,50.0
2026-05-24T16:41:11.015,50.0
2026-05-24T16:41:11.119,40.0
2026-05-24T16:41:11.223,50.0
2026-05-24T16:41:11.327,50.0
2026-05-24T16:41:11.430,50.0
2026-05-24T16:41:11.534,50.0
2026-05-24T16:41:11.638,50.0
2026-05-24T16:41:11.762,50.0
2026-05-24T16:41:11.866,50.0
2026-05-24T16:41:11.970,50.0
2026-05-24T16:41:12.074,50.0
2026-05-24T16:41:12.178,50.0
2026-05-24T16:41:12.282,50.0
2026-05-24T16:41:12.386,50.0
2026-05-24T16:41:12.490,50.0
2026-05-24T16:41:12.593,50.0
2026-05-24T16:41:12.697,50.0
2026-05-24T16:41:12.802,50.0
2026-05-24T16:41:12.905,50.0
2026-05-24T16:41:13.009,50.0
2026-05-24T16:41:13.113,50.0
2026-05-24T16:41:13.217,50.0
2026-05-24T16:41:13.339,50.0
2026-05-24T16:41:13.442,50.0
2026-05-24T16:41:13.546,50.0
2026-05-24T16:41:13.650,50.0
2026-05-24T16:41:13.753,50.0
2026-05-24T16:41:13.857,50.0
2026-05-24T16:41:13.961,50.0
2026-05-24T16:41:14.065,50.0
2026-05-24T16:41:14.169,50.0
2026-05-24T16:41:14.273,50.0
2026-05-24T16:41:14.377,50.0
2026-05-24T16:41:14.481,50.0
2026-05-24T16:41:14.584,50.0
2026-05-24T16:41:14.688,50.0
2026-05-24T16:41:14.792,50.0
2026-05-24T16:41:14.913,50.0
2026-05-24T16:41:15.017,50.0
2026-05-24T16:41:15.121,50.0
2026-05-24T16:41:15.226,50.0
2026-05-24T16:41:15.329,50.0
2026-05-24T16:41:15.433,50.0
2026-05-24T16:41:15.537,50.0
2026-05-24T16:41:15.640,50.0
2026-05-24T16:41:15.745,50.0
2026-05-24T16:41:15.849,50.0
2026-05-24T16:41:15.953,50.0
2026-05-24T16:41:16.057,50.0
2026-05-24T16:41:16.161,50.0
2026-05-24T16:41:16.266,50.0
2026-05-24T16:41:16.369,50.0
2026-05-24T16:41:16.488,50.0
2026-05-24T16:41:16.592,50.0
2026-05-24T16:41:16.696,50.0
2026-05-24T16:41:16.800,50.0
2026-05-24T16:41:16.905,50.0
2026-05-24T16:41:17.009,50.0
2026-05-24T16:41:17.113,50.0
2026-05-24T16:41:17.217,50.0
2026-05-24T16:41:17.321,50.0
2026-05-24T16:41:17.425,50.0
2026-05-24T16:41:17.529,50.0
2026-05-24T16:41:17.632,50.0
2026-05-24T16:41:17.736,50.0
2026-05-24T16:41:17.840,50.0
2026-05-24T16:41:17.943,50.0
2026-05-24T16:41:18.063,50.0
2026-05-24T16:41:18.166,50.0
2026-05-24T16:41:18.270,50.0
2026-05-24T16:41:18.374,50.0
2026-05-24T16:41:18.477,50.0
2026-05-24T16:41:18.581,50.0
2026-05-24T16:41:18.685,50.0
2026-05-24T16:41:18.789,50.0
2026-05-24T16:41:18.893,50.0
2026-05-24T16:41:18.997,50.0
2026-05-24T16:41:19.101,50.0
2026-05-24T16:41:19.204,50.0
2026-05-24T16:41:19.308,50.0
2026-05-24T16:41:19.412,50.0
2026-05-24T16:41:19.515,50.0
2026-05-24T16:41:19.637,50.0
2026-05-24T16:41:19.740,50.0
2026-05-24T16:41:19.844,50.0
2026-05-24T16:41:19.948,50.0
2026-05-24T16:41:20.052,50.0
2026-05-24T16:41:20.155,50.0
2026-05-24T16:41:20.259,50.0
2026-05-24T16:41:20.362,50.0
2026-05-24T16:41:20.466,50.0
2026-05-24T16:41:20.570,50.0
2026-05-24T16:41:20.674,50.0
2026-05-24T16:41:20.777,50.0
2026-05-24T16:41:20.881,50.0
2026-05-24T16:41:20.984,50.0
2026-05-24T16:41:21.088,50.0
2026-05-24T16:41:21.207,50.0
2026-05-24T16:41:21.311,50.0
2026-05-24T16:41:21.415,50.0
2026-05-24T16:41:21.519,50.0
2026-05-24T16:41:21.622,50.0
2026-05-24T16:41:21.726,50.0
2026-05-24T16:41:21.829,50.0
2026-05-24T16:41:21.933,50.0
2026-05-24T16:41:22.037,50.0
2026-05-24T16:41:22.140,50.0
2026-05-24T16:41:22.244,50.0
2026-05-24T16:41:22.347,50.0
2026-05-24T16:41:22.451,50.0
2026-05-24T16:41:22.555,50.0
2026-05-24T16:41:22.658,50.0
2026-05-24T16:41:22.779,50.0
2026-05-24T16:41:22.882,50.0
2026-05-24T16:41:22.986,50.0
2026-05-24T16:41:23.090,50.0
