mode,K,tau,disturbance_dps,command_dps,final_yaw_rate_dps,final_error_dps,final_error_ratio,error_ratio_1s,response_time_63_s,max_abs_yaw_rate_dps,saturation_ratio,settling_time_s,diverged,opposite_sign,pass,fail_reason
GPS_TRACKING_CLOSED,1.0,0.66,-15.0,-15.0,-20.53921569342709,5.539215693427089,0.3692810462284726,0.8669208912849956,0.15000000000000002,28.005998168879525,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,-15.0,15.0,15.333313597089443,-0.3333135970894432,0.022220906472629545,0.13553834562886943,0.45,15.333313597089443,0.0,1.05,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,-15.0,30.0,34.91835522474141,-4.918355224741411,0.16394517415804705,0.3467654057552541,0.25,41.039946923566326,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,0.0,-30.0,-39.08547421783998,9.08547421783998,0.302849140594666,0.5746791921122406,0.2,47.44915412452416,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,0.0,-15.0,-19.838694171214904,4.838694171214904,0.32257961141432695,0.4204137214774976,0.25,21.526216424734702,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,0.0,15.0,19.838694171214904,-4.838694171214904,0.32257961141432695,0.4204137214774976,0.25,21.526216424734702,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,0.0,30.0,39.08547421783998,-9.08547421783998,0.302849140594666,0.5746791921122406,0.2,47.44915412452416,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,15.0,-30.0,-34.91835522474141,4.918355224741411,0.16394517415804705,0.3467654057552541,0.25,41.039946923566326,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,15.0,-15.0,-15.333313597089443,0.3333135970894432,0.022220906472629545,0.13553834562886943,0.45,15.333313597089443,0.0,1.05,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,15.0,15.0,20.53921569342709,-5.539215693427089,0.3692810462284726,0.8669208912849956,0.15000000000000002,28.005998168879525,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,1.0,0.66,15.0,30.0,48.88939578110609,-18.88939578110609,0.6296465260368697,0.8016421345484034,0.15000000000000002,54.08883509867025,0.0,nan,False,False,False,FINAL_ERROR
DR_M_G_CLOSED,0.32,0.3,-15.0,-30.0,-42.39048244096368,12.39048244096368,0.41301608136545603,0.5004724982907021,0.15000000000000002,45.01417494872106,0.0,nan,False,False,False,FINAL_ERROR
DR_M_G_CLOSED,0.32,0.3,-15.0,-15.0,-22.64260042566839,7.642600425668391,0.5095066950445594,0.683774629378333,0.15000000000000002,25.264251923844995,0.0,nan,False,False,False,FINAL_ERROR
DR_M_G_CLOSED,0.32,0.3,-15.0,15.0,2.7702600001364734,12.229739999863526,0.8153159999909018,0.8578086976760172,nan,2.7702600001364734,0.0,nan,False,False,False,FINAL_ERROR
DR_M_G_CLOSED,0.32,0.3,-15.0,30.0,22.518142015431742,7.481857984568258,0.24939526615227525,0.27072444944384094,0.55,22.518142015431742,0.0,nan,False,False,True,
DR_M_G_CLOSED,0.32,0.3,0.0,-30.0,-34.56523360844115,4.565233608441147,0.1521744536147049,0.12528711094863307,0.2,34.56523360844115,0.0,nan,False,False,True,
DR_M_G_CLOSED,0.32,0.3,0.0,-15.0,-13.440225460381068,-1.5597745396189318,0.10398496930792879,0.12346023203424714,0.30000000000000004,13.440225460381068,0.0,0.9,False,False,True,
DR_M_G_CLOSED,0.32,0.3,0.0,15.0,13.440225460381068,1.5597745396189318,0.10398496930792879,0.12346023203424714,0.30000000000000004,13.440225460381068,0.0,0.9,False,False,True,
DR_M_G_CLOSED,0.32,0.3,0.0,30.0,34.56523360844115,-4.565233608441147,0.1521744536147049,0.12528711094863307,0.2,34.56523360844115,0.0,nan,False,False,True,
DR_M_G_CLOSED,0.32,0.3,15.0,-30.0,-22.518142015431742,-7.481857984568258,0.24939526615227525,0.27072444944384094,0.55,22.518142015431742,0.0,nan,False,False,True,
DR_M_G_CLOSED,0.32,0.3,15.0,-15.0,-2.7702600001364734,-12.229739999863526,0.8153159999909018,0.8578086976760172,nan,2.7702600001364734,0.0,nan,False,False,False,FINAL_ERROR
